areaCode,areaName,areaType,date,newCasesByPublishDate,newAdmissions,newAdmissionsRollingRate
E40000005,South East,nhsRegion,2023-01-04,1376,,
E40000005,South East,nhsRegion,2023-01-03,1442,,
E40000005,South East,nhsRegion,2023-01-02,1489,131,11.9
E40000005,South East,nhsRegion,2023-01-01,1523,130,12.6
E40000005,South East,nhsRegion,2022-12-31,1535,91,13.2
E40000005,South East,nhsRegion,2022-12-30,1554,129,13.8
E40000005,South East,nhsRegion,2022-12-29,1567,177,14.3
E40000005,South East,nhsRegion,2022-12-28,1569,208,14.7
E40000005,South East,nhsRegion,2022-12-27,1544,199,14.9
E40000005,South East,nhsRegion,2022-12-26,1540,195,15.4
E40000005,South East,nhsRegion,2022-12-25,1462,179,15.5
E40000005,South East,nhsRegion,2022-12-24,1468,149,16.5
E40000005,South East,nhsRegion,2022-12-23,1422,167,16.3
E40000005,South East,nhsRegion,2022-12-22,1383,212,15.9
E40000005,South East,nhsRegion,2022-12-21,1347,227,15.6
E40000005,South East,nhsRegion,2022-12-20,1259,244,14.7
E40000005,South East,nhsRegion,2022-12-19,1156,211,13.8
E40000005,South East,nhsRegion,2022-12-18,1111,263,12.9
E40000005,South East,nhsRegion,2022-12-17,1044,132,11.4
E40000005,South East,nhsRegion,2022-12-16,1034,135,11.1
E40000005,South East,nhsRegion,2022-12-15,977,180,10.8
E40000005,South East,nhsRegion,2022-12-14,923,151,10.0
E40000005,South East,nhsRegion,2022-12-13,928,158,9.7
E40000005,South East,nhsRegion,2022-12-12,954,129,9.2
E40000005,South East,nhsRegion,2022-12-11,885,137,8.8
E40000005,South East,nhsRegion,2022-12-10,850,106,8.3
E40000005,South East,nhsRegion,2022-12-09,827,102,8.1
E40000005,South East,nhsRegion,2022-12-08,832,108,7.9
E40000005,South East,nhsRegion,2022-12-07,801,128,7.8
E40000005,South East,nhsRegion,2022-12-06,759,113,7.4
E40000005,South East,nhsRegion,2022-12-05,769,88,7.2
