areaCode,areaName,areaType,date,newCasesByPublishDate,newAdmissions,newAdmissionsRollingRate
E40000008,Midlands,nhsRegion,2023-01-04,1805,,
E40000008,Midlands,nhsRegion,2023-01-03,1866,,
E40000008,Midlands,nhsRegion,2023-01-02,1851,173,12.6
E40000008,Midlands,nhsRegion,2023-01-01,1809,157,12.6
E40000008,Midlands,nhsRegion,2022-12-31,1778,160,12.6
E40000008,Midlands,nhsRegion,2022-12-30,1709,191,12.4
E40000008,Midlands,nhsRegion,2022-12-29,1663,250,12.3
E40000008,Midlands,nhsRegion,2022-12-28,1691,238,11.9
E40000008,Midlands,nhsRegion,2022-12-27,1670,179,12.1
E40000008,Midlands,nhsRegion,2022-12-26,1629,171,12.9
E40000008,Midlands,nhsRegion,2022-12-25,1604,154,13.6
E40000008,Midlands,nhsRegion,2022-12-24,1603,137,13.9
E40000008,Midlands,nhsRegion,2022-12-23,1673,184,13.9
E40000008,Midlands,nhsRegion,2022-12-22,1671,207,13.7
E40000008,Midlands,nhsRegion,2022-12-21,1607,255,13.6
E40000008,Midlands,nhsRegion,2022-12-20,1524,263,13.1
E40000008,Midlands,nhsRegion,2022-12-19,1472,251,12.4
E40000008,Midlands,nhsRegion,2022-12-18,1428,182,11.8
E40000008,Midlands,nhsRegion,2022-12-17,1379,141,11.6
E40000008,Midlands,nhsRegion,2022-12-16,1322,160,11.2
E40000008,Midlands,nhsRegion,2022-12-15,1273,197,10.8
E40000008,Midlands,nhsRegion,2022-12-14,1250,207,10.2
E40000008,Midlands,nhsRegion,2022-12-13,1165,187,9.5
E40000008,Midlands,nhsRegion,2022-12-12,1114,179,9.0
E40000008,Midlands,nhsRegion,2022-12-11,1106,166,8.7
E40000008,Midlands,nhsRegion,2022-12-10,1101,96,8.0
E40000008,Midlands,nhsRegion,2022-12-09,1048,115,7.8
E40000008,Midlands,nhsRegion,2022-12-08,1009,135,7.7
E40000008,Midlands,nhsRegion,2022-12-07,1001,137,7.5
E40000008,Midlands,nhsRegion,2022-12-06,986,136,7.5
E40000008,Midlands,nhsRegion,2022-12-05,1018,138,7.6
E40000008,Midlands,nhsRegion,2022-12-04,986,99,7.4
E40000008,Midlands,nhsRegion,2022-12-03,993,76,7.3
E40000008,Midlands,nhsRegion,2022-12-02,975,95,7.4
E40000008,Midlands,nhsRegion,2022-12-01,959,122,7.5
E40000008,Midlands,nhsRegion,2022-11-30,942,129,7.3
