areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
E06000015,Derby,utla,2023-01-05,95032,150,,
E06000015,Derby,utla,2023-01-04,94882,0,0,11
E06000015,Derby,utla,2023-01-03,94882,0,0,11
E06000015,Derby,utla,2023-01-02,94882,0,0,13
E06000015,Derby,utla,2023-01-01,94882,0,0,13
E06000015,Derby,utla,2022-12-31,94882,0,1,15
E06000015,Derby,utla,2022-12-30,94882,0,0,10
E06000015,Derby,utla,2022-12-29,94882,173,0,15
E06000015,Derby,utla,2022-12-28,94709,0,0,18
E06000015,Derby,utla,2022-12-27,94709,0,0,8
E06000015,Derby,utla,2022-12-26,94709,0,0,10
E06000015,Derby,utla,2022-12-25,94709,0,0,6
E06000015,Derby,utla,2022-12-24,94709,0,0,13
E06000015,Derby,utla,2022-12-23,94709,0,1,15
E06000015,Derby,utla,2022-12-22,94709,168,0,23
E06000015,Derby,utla,2022-12-21,94541,0,0,8
E06000015,Derby,utla,2022-12-20,94541,0,1,20
E06000015,Derby,utla,2022-12-19,94541,0,0,17
E06000015,Derby,utla,2022-12-18,94541,0,0,8
E06000015,Derby,utla,2022-12-17,94541,0,0,20
E06000015,Derby,utla,2022-12-16,94541,0,1,11
E06000015,Derby,utla,2022-12-15,94541,165,1,16
E06000015,Derby,utla,2022-12-14,94376,0,0,21
E06000015,Derby,utla,2022-12-13,94376,0,0,23
E06000015,Derby,utla,2022-12-12,94376,0,1,22
E06000015,Derby,utla,2022-12-11,94376,0,0,11
E06000015,Derby,utla,2022-12-10,94376,0,0,8
E06000015,Derby,utla,2022-12-09,94376,0,1,10
E06000015,Derby,utla,2022-12-08,94376,115,0,11
E06000015,Derby,utla,2022-12-07,94261,0,0,13
E06000015,Derby,utla,2022-12-06,94261,0,0,11
E06000015,Derby,utla,2022-12-05,94261,0,0,16
E06000015,Derby,utla,2022-12-04,94261,0,1,12
