areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
E06000043,Brighton and Hove,utla,2023-01-05,104677,168,,
E06000043,Brighton and Hove,utla,2023-01-04,104509,0,0,11
E06000043,Brighton and Hove,utla,2023-01-03,104509,0,0,25
E06000043,Brighton and Hove,utla,2023-01-02,104509,0,0,20
E06000043,Brighton and Hove,utla,2023-01-01,104509,0,0,13
E06000043,Brighton and Hove,utla,2022-12-31,104509,0,0,9
E06000043,Brighton and Hove,utla,2022-12-30,104509,0,0,11
E06000043,Brighton and Hove,utla,2022-12-29,104509,201,0,16
E06000043,Brighton and Hove,utla,2022-12-28,104308,0,1,20
E06000043,Brighton and Hove,utla,2022-12-27,104308,0,1,27
E06000043,Brighton and Hove,utla,2022-12-26,104308,0,0,21
E06000043,Brighton and Hove,utla,2022-12-25,104308,0,0,15
E06000043,Brighton and Hove,utla,2022-12-24,104308,0,2,14
E06000043,Brighton and Hove,utla,2022-12-23,104308,0,0,22
E06000043,Brighton and Hove,utla,2022-12-22,104308,216,1,31
E06000043,Brighton and Hove,utla,2022-12-21,104092,0,0,30
E06000043,Brighton and Hove,utla,2022-12-20,104092,0,0,32
E06000043,Brighton and Hove,utla,2022-12-19,104092,0,0,32
E06000043,Brighton and Hove,utla,2022-12-18,104092,0,1,24
E06000043,Brighton and Hove,utla,2022-12-17,104092,0,0,18
E06000043,Brighton and Hove,utla,2022-12-16,104092,0,0,21
E06000043,Brighton and Hove,utla,2022-12-15,104092,166,0,23
E06000043,Brighton and Hove,utla,2022-12-14,103926,0,0,33
E06000043,Brighton and Hove,utla,2022-12-13,103926,0,0,25
E06000043,Brighton and Hove,utla,2022-12-12,103926,0,0,30
E06000043,Brighton and Hove,utla,2022-12-11,103926,0,0,18
E06000043,Brighton and Hove,utla,2022-12-10,103926,0,0,17
E06000043,Brighton and Hove,utla,2022-12-09,103926,0,0,15
E06000043,Brighton and Hove,utla,2022-12-08,103926,147,0,15
E06000043,Brighton and Hove,utla,2022-12-07,103779,0,0,20
E06000043,Brighton and Hove,utla,2022-12-06,103779,0,0,28
E06000043,Brighton and Hove,utla,2022-12-05,103779,0,0,21
E06000043,Brighton and Hove,utla,2022-12-04,103779,0,0,15
E06000043,Brighton and Hove,utla,2022-12-03,103779,0,0,24
E06000043,Brighton and Hove,utla,2022-12-02,103779,0,0,7
E06000043,Brighton and Hove,utla,2022-12-01,103779,135,0,16
E06000043,Brighton and Hove,utla,2022-11-30,103644,0,0,22
E06000043,Brighton and Hove,utla,2022-11-29,103644,0,0,17
E06000043,Brighton and Hove,utla,2022-11-28,103644,0,3,17
E06000043,Brighton and Hove,utla,2022-11-27,103644,0,1,16
E06000043,Brighton and Hove,utla,2022-11-26,103644,0,0,10
E06000043,Brighton and Hove,utla,2022-11-25,103644,0,0,13
E06000043,Brighton and Hove,utla,2022-11-24,103644,97,0,10
E06000043,Brighton and Hove,utla,2022-11-23,103547,0,0,12
E06000043,Brighton and Hove,utla,2022-11-22,103547,0,0,15
E06000043,Brighton and Hove,utla,2022-11-21,103547,0,0,11
E06000043,Brighton and Hove,utla,2022-11-20,103547,0,0,16
E06000043,Brighton and Hove,utla,2022-11-19,103547,0,0,12
