areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
E09000003,Barnet,utla,2023-01-05,137296,168,,
E09000003,Barnet,utla,2023-01-04,137128,0,0,11
E09000003,Barnet,utla,2023-01-03,137128,0,0,13
E09000003,Barnet,utla,2023-01-02,137128,0,0,9
E09000003,Barnet,utla,2023-01-01,137128,0,0,11
E09000003,Barnet,utla,2022-12-31,137128,0,0,14
E09000003,Barnet,utla,2022-12-30,137128,0,1,9
E09000003,Barnet,utla,2022-12-29,137128,182,0,11
E09000003,Barnet,utla,2022-12-28,136946,0,0,12
E09000003,Barnet,utla,2022-12-27,136946,0,0,19
E09000003,Barnet,utla,2022-12-26,136946,0,0,15
E09000003,Barnet,utla,2022-12-25,136946,0,0,11
E09000003,Barnet,utla,2022-12-24,136946,0,0,13
E09000003,Barnet,utla,2022-12-23,136946,0,0,9
E09000003,Barnet,utla,2022-12-22,136946,229,1,15
E09000003,Barnet,utla,2022-12-21,136717,0,0,13
E09000003,Barnet,utla,2022-12-20,136717,0,0,21
E09000003,Barnet,utla,2022-12-19,136717,0,0,22
E09000003,Barnet,utla,2022-12-18,136717,0,0,24
E09000003,Barnet,utla,2022-12-17,136717,0,0,21
E09000003,Barnet,utla,2022-12-16,136717,0,0,16
E09000003,Barnet,utla,2022-12-15,136717,204,0,14
E09000003,Barnet,utla,2022-12-14,136513,0,1,20
E09000003,Barnet,utla,2022-12-13,136513,0,0,24
E09000003,Barnet,utla,2022-12-12,136513,0,1,20
E09000003,Barnet,utla,2022-12-11,136513,0,0,18
E09000003,Barnet,utla,2022-12-10,136513,0,0,6
E09000003,Barnet,utla,2022-12-09,136513,0,0,18
E09000003,Barnet,utla,2022-12-08,136513,147,0,16
E09000003,Barnet,utla,2022-12-07,136366,0,0,16
E09000003,Barnet,utla,2022-12-06,136366,0,0,11
E09000003,Barnet,utla,2022-12-05,136366,0,0,13
E09000003,Barnet,utla,2022-12-04,136366,0,0,11
E09000003,Barnet,utla,2022-12-03,136366,0,0,12
E09000003,Barnet,utla,2022-12-02,136366,0,1,14
E09000003,Barnet,utla,2022-12-01,136366,130,0,14
E09000003,Barnet,utla,2022-11-30,136236,0,0,19
E09000003,Barnet,utla,2022-11-29,136236,0,0,17
E09000003,Barnet,utla,2022-11-28,136236,0,1,14
E09000003,Barnet,utla,2022-11-27,136236,0,0,16
E09000003,Barnet,utla,2022-11-26,136236,0,1,5
E09000003,Barnet,utla,2022-11-25,136236,0,0,9
E09000003,Barnet,utla,2022-11-24,136236,117,0,11
E09000003,Barnet,utla,2022-11-23,136119,0,0,16
E09000003,Barnet,utla,2022-11-22,136119,0,0,12
E09000003,Barnet,utla,2022-11-21,136119,0,0,15
E09000003,Barnet,utla,2022-11-20,136119,0,1,10
E09000003,Barnet,utla,2022-11-19,136119,0,0,9
E09000003,Barnet,utla,2022-11-18,136119,0,0,9
E09000003,Barnet,utla,2022-11-17,136119,103,0,5
E09000003,Barnet,utla,2022-11-16,136016,0,0,13
E09000003,Barnet,utla,2022-11-15,136016,0,0,7
E09000003,Barnet,utla,2022-11-14,136016,0,0,16
E09000003,Barnet,utla,2022-11-13,136016,0,0,11
E09000003,Barnet,utla,2022-11-12,136016,0,0,5
E09000003,Barnet,utla,2022-11-11,136016,0,3,10
E09000003,Barnet,utla,2022-11-10,136016,125,0,12
E09000003,Barnet,utla,2022-11-09,135891,0,0,9
E09000003,Barnet,utla,2022-11-08,135891,0,0,15
E09000003,Barnet,utla,2022-11-07,135891,0,1,19
E09000003,Barnet,utla,2022-11-06,135891,0,0,14
E09000003,Barnet,utla,2022-11-05,135891,0,0,10
E09000003,Barnet,utla,2022-11-04,135891,0,0,8
E09000003,Barnet,utla,2022-11-03,135891,180,0,11
E09000003,Barnet,utla,2022-11-02,135711,0,0,13
E09000003,Barnet,utla,2022-11-01,135711,0,1,14
E09000003,Barnet,utla,2022-10-31,135711,0,0,25
E09000003,Barnet,utla,2022-10-30,135711,0,0,25
E09000003,Barnet,utla,2022-10-29,135711,0,0,12
E09000003,Barnet,utla,2022-10-28,135711,0,0,18
E09000003,Barnet,utla,2022-10-27,135711,157,1,15
E09000003,Barnet,utla,2022-10-26,135554,0,2,14
E09000003,Barnet,utla,2022-10-25,135554,0,1,14
E09000003,Barnet,utla,2022-10-24,135554,0,0,18
E09000003,Barnet,utla,2022-10-23,135554,0,1,11
E09000003,Barnet,utla,2022-10-22,135554,0,0,15
E09000003,Barnet,utla,2022-10-21,135554,0,0,10
E09000003,Barnet,utla,2022-10-20,135554,238,0,16
E09000003,Barnet,utla,2022-10-19,135316,0,2,23
E09000003,Barnet,utla,2022-10-18,135316,0,0,27
E09000003,Barnet,utla,2022-10-17,135316,0,0,22
E09000003,Barnet,utla,2022-10-16,135316,0,0,27
E09000003,Barnet,utla,2022-10-15,135316,0,0,16
E09000003,Barnet,utla,2022-10-14,135316,0,0,29
E09000003,Barnet,utla,2022-10-13,135316,253,0,18
E09000003,Barnet,utla,2022-10-12,135063,0,2,28
E09000003,Barnet,utla,2022-10-11,135063,0,3,27
E09000003,Barnet,utla,2022-10-10,135063,0,2,37
E09000003,Barnet,utla,2022-10-09,135063,0,0,19
E09000003,Barnet,utla,2022-10-08,135063,0,2,21
E09000003,Barnet,utla,2022-10-07,135063,0,0,22
E09000003,Barnet,utla,2022-10-06,135063,254,1,29
E09000003,Barnet,utla,2022-10-05,134809,0,0,24
E09000003,Barnet,utla,2022-10-04,134809,0,1,38
E09000003,Barnet,utla,2022-10-03,134809,0,0,36
E09000003,Barnet,utla,2022-10-02,134809,0,0,29
E09000003,Barnet,utla,2022-10-01,134809,0,1,17
