areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
E08000017,Doncaster,utla,2023-01-05,117225,132,,
E08000017,Doncaster,utla,2023-01-04,117093,0,0,11
E08000017,Doncaster,utla,2023-01-03,117093,0,0,11
E08000017,Doncaster,utla,2023-01-02,117093,0,0,8
E08000017,Doncaster,utla,2023-01-01,117093,0,0,5
E08000017,Doncaster,utla,2022-12-31,117093,0,0,8
E08000017,Doncaster,utla,2022-12-30,117093,0,0,7
E08000017,Doncaster,utla,2022-12-29,117093,112,0,10
E08000017,Doncaster,utla,2022-12-28,116981,0,1,19
E08000017,Doncaster,utla,2022-12-27,116981,0,0,12
E08000017,Doncaster,utla,2022-12-26,116981,0,0,7
E08000017,Doncaster,utla,2022-12-25,116981,0,0,6
E08000017,Doncaster,utla,2022-12-24,116981,0,1,8
E08000017,Doncaster,utla,2022-12-23,116981,0,0,12
E08000017,Doncaster,utla,2022-12-22,116981,149,0,10
E08000017,Doncaster,utla,2022-12-21,116832,0,0,10
E08000017,Doncaster,utla,2022-12-20,116832,0,1,15
E08000017,Doncaster,utla,2022-12-19,116832,0,0,23
E08000017,Doncaster,utla,2022-12-18,116832,0,0,15
E08000017,Doncaster,utla,2022-12-17,116832,0,0,10
E08000017,Doncaster,utla,2022-12-16,116832,0,0,6
E08000017,Doncaster,utla,2022-12-15,116832,138,0,12
E08000017,Doncaster,utla,2022-12-14,116694,0,0,13
E08000017,Doncaster,utla,2022-12-13,116694,0,0,13
E08000017,Doncaster,utla,2022-12-12,116694,0,1,13
E08000017,Doncaster,utla,2022-12-11,116694,0,0,12
E08000017,Doncaster,utla,2022-12-10,116694,0,0,10
E08000017,Doncaster,utla,2022-12-09,116694,0,0,11
E08000017,Doncaster,utla,2022-12-08,116694,83,0,12
E08000017,Doncaster,utla,2022-12-07,116611,0,0,8
E08000017,Doncaster,utla,2022-12-06,116611,0,0,13
E08000017,Doncaster,utla,2022-12-05,116611,0,0,11
E08000017,Doncaster,utla,2022-12-04,116611,0,0,5
E08000017,Doncaster,utla,2022-12-03,116611,0,0,3
E08000017,Doncaster,utla,2022-12-02,116611,0,0,5
E08000017,Doncaster,utla,2022-12-01,116611,109,0,4
E08000017,Doncaster,utla,2022-11-30,116502,0,0,9
E08000017,Doncaster,utla,2022-11-29,116502,0,0,10
E08000017,Doncaster,utla,2022-11-28,116502,0,0,14
E08000017,Doncaster,utla,2022-11-27,116502,0,0,9
E08000017,Doncaster,utla,2022-11-26,116502,0,0,5
E08000017,Doncaster,utla,2022-11-25,116502,0,0,5
E08000017,Doncaster,utla,2022-11-24,116502,77,0,11
E08000017,Doncaster,utla,2022-11-23,116425,0,0,6
E08000017,Doncaster,utla,2022-11-22,116425,0,1,5
E08000017,Doncaster,utla,2022-11-21,116425,0,0,12
E08000017,Doncaster,utla,2022-11-20,116425,0,0,14
E08000017,Doncaster,utla,2022-11-19,116425,0,0,2
E08000017,Doncaster,utla,2022-11-18,116425,0,0,4
E08000017,Doncaster,utla,2022-11-17,116425,118,0,5
E08000017,Doncaster,utla,2022-11-16,116307,0,1,9
E08000017,Doncaster,utla,2022-11-15,116307,0,0,13
E08000017,Doncaster,utla,2022-11-14,116307,0,0,12
E08000017,Doncaster,utla,2022-11-13,116307,0,0,12
E08000017,Doncaster,utla,2022-11-12,116307,0,0,9
E08000017,Doncaster,utla,2022-11-11,116307,0,0,9
E08000017,Doncaster,utla,2022-11-10,116307,104,0,6
E08000017,Doncaster,utla,2022-11-09,116203,0,0,14
E08000017,Doncaster,utla,2022-11-08,116203,0,0,8
E08000017,Doncaster,utla,2022-11-07,116203,0,0,5
E08000017,Doncaster,utla,2022-11-06,116203,0,0,6
E08000017,Doncaster,utla,2022-11-05,116203,0,0,9
E08000017,Doncaster,utla,2022-11-04,116203,0,0,10
E08000017,Doncaster,utla,2022-11-03,116203,155,0,9
E08000017,Doncaster,utla,2022-11-02,116048,0,0,14
E08000017,Doncaster,utla,2022-11-01,116048,0,0,9
E08000017,Doncaster,utla,2022-10-31,116048,0,0,19
E08000017,Doncaster,utla,2022-10-30,116048,0,1,22
E08000017,Doncaster,utla,2022-10-29,116048,0,0,10
E08000017,Doncaster,utla,2022-10-28,116048,0,0,16
E08000017,Doncaster,utla,2022-10-27,116048,245,1,10
E08000017,Doncaster,utla,2022-10-26,115803,0,1,12
E08000017,Doncaster,utla,2022-10-25,115803,0,0,11
E08000017,Doncaster,utla,2022-10-24,115803,0,0,36
E08000017,Doncaster,utla,2022-10-23,115803,0,1,16
E08000017,Doncaster,utla,2022-10-22,115803,0,0,18
E08000017,Doncaster,utla,2022-10-21,115803,0,0,16
E08000017,Doncaster,utla,2022-10-20,115803,336,1,22
E08000017,Doncaster,utla,2022-10-19,115467,0,0,27
E08000017,Doncaster,utla,2022-10-18,115467,0,0,21
E08000017,Doncaster,utla,2022-10-17,115467,0,0,32
E08000017,Doncaster,utla,2022-10-16,115467,0,1,33
E08000017,Doncaster,utla,2022-10-15,115467,0,1,16
E08000017,Doncaster,utla,2022-10-14,115467,0,1,30
E08000017,Doncaster,utla,2022-10-13,115467,423,0,25
E08000017,Doncaster,utla,2022-10-12,115044,0,0,44
E08000017,Doncaster,utla,2022-10-11,115044,0,0,37
E08000017,Doncaster,utla,2022-10-10,115044,0,3,44
E08000017,Doncaster,utla,2022-10-09,115044,0,1,37
E08000017,Doncaster,utla,2022-10-08,115044,0,0,35
E08000017,Doncaster,utla,2022-10-07,115044,0,0,41
E08000017,Doncaster,utla,2022-10-06,115044,404,1,35
E08000017,Doncaster,utla,2022-10-05,114640,0,1,35
E08000017,Doncaster,utla,2022-10-04,114640,0,0,43
E08000017,Doncaster,utla,2022-10-03,114640,0,3,47
E08000017,Doncaster,utla,2022-10-02,114640,0,0,41
E08000017,Doncaster,utla,2022-10-01,114640,0,0,31
E08000017,Doncaster,utla,2022-09-30,114640,0,1,28
E08000017,Doncaster,utla,2022-09-29,114640,356,0,28
E08000017,Doncaster,utla,2022-09-28,114284,0,2,25
E08000017,Doncaster,utla,2022-09-27,114284,0,1,44
E08000017,Doncaster,utla,2022-09-26,114284,0,0,46
E08000017,Doncaster,utla,2022-09-25,114284,0,2,37
E08000017,Doncaster,utla,2022-09-24,114284,0,2,31
E08000017,Doncaster,utla,2022-09-23,114284,0,1,21
E08000017,Doncaster,utla,2022-09-22,114284,226,0,28
E08000017,Doncaster,utla,2022-09-21,114058,0,0,26
E08000017,Doncaster,utla,2022-09-20,114058,0,0,35
E08000017,Doncaster,utla,2022-09-19,114058,0,0,32
E08000017,Doncaster,utla,2022-09-18,114058,0,0,23
E08000017,Doncaster,utla,2022-09-17,114058,0,1,17
E08000017,Doncaster,utla,2022-09-16,114058,0,0,11
E08000017,Doncaster,utla,2022-09-15,114058,131,0,18
E08000017,Doncaster,utla,2022-09-14,113927,0,0,20
E08000017,Doncaster,utla,2022-09-13,113927,0,0,14
E08000017,Doncaster,utla,2022-09-12,113927,0,0,17
E08000017,Doncaster,utla,2022-09-11,113927,0,0,10
E08000017,Doncaster,utla,2022-09-10,113927,0,0,8
E08000017,Doncaster,utla,2022-09-09,113927,0,0,12
E08000017,Doncaster,utla,2022-09-08,113927,147,0,11
E08000017,Doncaster,utla,2022-09-07,113780,0,2,17
E08000017,Doncaster,utla,2022-09-06,113780,0,0,20
E08000017,Doncaster,utla,2022-09-05,113780,0,0,13
E08000017,Doncaster,utla,2022-09-04,113780,0,0,16
E08000017,Doncaster,utla,2022-09-03,113780,0,0,13
E08000017,Doncaster,utla,2022-09-02,113780,0,0,10
E08000017,Doncaster,utla,2022-09-01,113780,0,0,12
E08000017,Doncaster,utla,2022-08-31,113780,129,0,13
