areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
E06000009,Blackpool,utla,2023-01-05,54887,118,,
E06000009,Blackpool,utla,2023-01-04,54769,0,0,6
E06000009,Blackpool,utla,2023-01-03,54769,0,0,11
E06000009,Blackpool,utla,2023-01-02,54769,0,0,13
E06000009,Blackpool,utla,2023-01-01,54769,0,0,9
E06000009,Blackpool,utla,2022-12-31,54769,0,1,9
E06000009,Blackpool,utla,2022-12-30,54769,0,0,4
E06000009,Blackpool,utla,2022-12-29,54769,137,0,6
E06000009,Blackpool,utla,2022-12-28,54632,0,0,8
E06000009,Blackpool,utla,2022-12-27,54632,0,0,12
E06000009,Blackpool,utla,2022-12-26,54632,0,1,6
E06000009,Blackpool,utla,2022-12-25,54632,0,0,7
E06000009,Blackpool,utla,2022-12-24,54632,0,0,5
E06000009,Blackpool,utla,2022-12-23,54632,0,1,5
E06000009,Blackpool,utla,2022-12-22,54632,117,1,11
E06000009,Blackpool,utla,2022-12-21,54515,0,0,11
E06000009,Blackpool,utla,2022-12-20,54515,0,0,13
E06000009,Blackpool,utla,2022-12-19,54515,0,0,3
E06000009,Blackpool,utla,2022-12-18,54515,0,0,8
E06000009,Blackpool,utla,2022-12-17,54515,0,0,2
E06000009,Blackpool,utla,2022-12-16,54515,0,0,9
E06000009,Blackpool,utla,2022-12-15,54515,102,0,6
E06000009,Blackpool,utla,2022-12-14,54413,0,0,4
E06000009,Blackpool,utla,2022-12-13,54413,0,1,10
E06000009,Blackpool,utla,2022-12-12,54413,0,0,9
E06000009,Blackpool,utla,2022-12-11,54413,0,0,5
E06000009,Blackpool,utla,2022-12-10,54413,0,0,5
E06000009,Blackpool,utla,2022-12-09,54413,0,0,6
E06000009,Blackpool,utla,2022-12-08,54413,79,0,5
E06000009,Blackpool,utla,2022-12-07,54334,0,0,9
E06000009,Blackpool,utla,2022-12-06,54334,0,0,5
E06000009,Blackpool,utla,2022-12-05,54334,0,0,10
E06000009,Blackpool,utla,2022-12-04,54334,0,0,10
E06000009,Blackpool,utla,2022-12-03,54334,0,0,9
