areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
E06000050,Cheshire West and Chester,utla,2023-01-05,133128,259,,
E06000050,Cheshire West and Chester,utla,2023-01-04,132869,0,0,9
E06000050,Cheshire West and Chester,utla,2023-01-03,132869,0,1,18
E06000050,Cheshire West and Chester,utla,2023-01-02,132869,0,2,22
E06000050,Cheshire West and Chester,utla,2023-01-01,132869,0,0,19
E06000050,Cheshire West and Chester,utla,2022-12-31,132869,0,3,17
E06000050,Cheshire West and Chester,utla,2022-12-30,132869,0,1,21
E06000050,Cheshire West and Chester,utla,2022-12-29,132869,297,0,40
E06000050,Cheshire West and Chester,utla,2022-12-28,132572,0,1,23
E06000050,Cheshire West and Chester,utla,2022-12-27,132572,0,1,29
E06000050,Cheshire West and Chester,utla,2022-12-26,132572,0,1,23
E06000050,Cheshire West and Chester,utla,2022-12-25,132572,0,0,17
E06000050,Cheshire West and Chester,utla,2022-12-24,132572,0,1,25
E06000050,Cheshire West and Chester,utla,2022-12-23,132572,0,5,19
E06000050,Cheshire West and Chester,utla,2022-12-22,132572,274,3,20
E06000050,Cheshire West and Chester,utla,2022-12-21,132298,0,2,23
E06000050,Cheshire West and Chester,utla,2022-12-20,132298,0,2,28
E06000050,Cheshire West and Chester,utla,2022-12-19,132298,0,1,31
E06000050,Cheshire West and Chester,utla,2022-12-18,132298,0,1,22
E06000050,Cheshire West and Chester,utla,2022-12-17,132298,0,0,17
E06000050,Cheshire West and Chester,utla,2022-12-16,132298,0,2,23
E06000050,Cheshire West and Chester,utla,2022-12-15,132298,228,2,20
E06000050,Cheshire West and Chester,utla,2022-12-14,132070,0,0,32
E06000050,Cheshire West and Chester,utla,2022-12-13,132070,0,1,27
E06000050,Cheshire West and Chester,utla,2022-12-12,132070,0,3,26
E06000050,Cheshire West and Chester,utla,2022-12-11,132070,0,4,14
E06000050,Cheshire West and Chester,utla,2022-12-10,132070,0,0,14
E06000050,Cheshire West and Chester,utla,2022-12-09,132070,0,0,13
E06000050,Cheshire West and Chester,utla,2022-12-08,132070,180,1,13
E06000050,Cheshire West and Chester,utla,2022-12-07,131890,0,1,24
E06000050,Cheshire West and Chester,utla,2022-12-06,131890,0,0,18
E06000050,Cheshire West and Chester,utla,2022-12-05,131890,0,1,19
E06000050,Cheshire West and Chester,utla,2022-12-04,131890,0,1,18
E06000050,Cheshire West and Chester,utla,2022-12-03,131890,0,0,9
E06000050,Cheshire West and Chester,utla,2022-12-02,131890,0,7,11
E06000050,Cheshire West and Chester,utla,2022-12-01,131890,161,0,15
E06000050,Cheshire West and Chester,utla,2022-11-30,131729,0,2,19
E06000050,Cheshire West and Chester,utla,2022-11-29,131729,0,0,12
E06000050,Cheshire West and Chester,utla,2022-11-28,131729,0,3,20
