areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
W06000008,Ceredigion,utla,2023-01-05,13156,20,,
W06000008,Ceredigion,utla,2023-01-04,13136,0,,
W06000008,Ceredigion,utla,2023-01-03,13136,0,,
W06000008,Ceredigion,utla,2023-01-02,13136,0,,
W06000008,Ceredigion,utla,2023-01-01,13136,0,,
W06000008,Ceredigion,utla,2022-12-31,13136,0,,
W06000008,Ceredigion,utla,2022-12-30,13136,0,,
W06000008,Ceredigion,utla,2022-12-29,13136,14,,
W06000008,Ceredigion,utla,2022-12-28,13122,0,,
W06000008,Ceredigion,utla,2022-12-27,13122,0,,
W06000008,Ceredigion,utla,2022-12-26,13122,0,,
W06000008,Ceredigion,utla,2022-12-25,13122,0,,
W06000008,Ceredigion,utla,2022-12-24,13122,0,,
W06000008,Ceredigion,utla,2022-12-23,13122,0,,
W06000008,Ceredigion,utla,2022-12-22,13122,20,,
W06000008,Ceredigion,utla,2022-12-21,13102,0,,
W06000008,Ceredigion,utla,2022-12-20,13102,0,,
W06000008,Ceredigion,utla,2022-12-19,13102,0,,
W06000008,Ceredigion,utla,2022-12-18,13102,0,,
W06000008,Ceredigion,utla,2022-12-17,13102,0,,
W06000008,Ceredigion,utla,2022-12-16,13102,0,,
W06000008,Ceredigion,utla,2022-12-15,13102,6,,
W06000008,Ceredigion,utla,2022-12-14,13096,0,,
W06000008,Ceredigion,utla,2022-12-13,13096,0,,
W06000008,Ceredigion,utla,2022-12-12,13096,0,,
W06000008,Ceredigion,utla,2022-12-11,13096,0,,
W06000008,Ceredigion,utla,2022-12-10,13096,0,,
W06000008,Ceredigion,utla,2022-12-09,13096,0,,
W06000008,Ceredigion,utla,2022-12-08,13096,5,,
W06000008,Ceredigion,utla,2022-12-07,13091,0,,
W06000008,Ceredigion,utla,2022-12-06,13091,0,,
W06000008,Ceredigion,utla,2022-12-05,13091,0,,
W06000008,Ceredigion,utla,2022-12-04,13091,0,,
W06000008,Ceredigion,utla,2022-12-03,13091,0,,
W06000008,Ceredigion,utla,2022-12-02,13091,0,,
W06000008,Ceredigion,utla,2022-12-01,13091,3,,
W06000008,Ceredigion,utla,2022-11-30,13088,0,,
W06000008,Ceredigion,utla,2022-11-29,13088,0,,
W06000008,Ceredigion,utla,2022-11-28,13088,0,,
