areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
E06000022,Bath and North East Somerset,utla,2023-01-05,67209,137,,
E06000022,Bath and North East Somerset,utla,2023-01-04,67072,0,0,6
E06000022,Bath and North East Somerset,utla,2023-01-03,67072,0,0,13
E06000022,Bath and North East Somerset,utla,2023-01-02,67072,0,0,11
E06000022,Bath and North East Somerset,utla,2023-01-01,67072,0,0,4
E06000022,Bath and North East Somerset,utla,2022-12-31,67072,0,0,11
E06000022,Bath and North East Somerset,utla,2022-12-30,67072,0,0,14
E06000022,Bath and North East Somerset,utla,2022-12-29,67072,180,0,18
E06000022,Bath and North East Somerset,utla,2022-12-28,66892,0,0,15
E06000022,Bath and North East Somerset,utla,2022-12-27,66892,0,1,18
E06000022,Bath and North East Somerset,utla,2022-12-26,66892,0,0,16
E06000022,Bath and North East Somerset,utla,2022-12-25,66892,0,0,11
E06000022,Bath and North East Somerset,utla,2022-12-24,66892,0,0,22
E06000022,Bath and North East Somerset,utla,2022-12-23,66892,0,0,19
E06000022,Bath and North East Somerset,utla,2022-12-22,66892,231,1,20
E06000022,Bath and North East Somerset,utla,2022-12-21,66661,0,0,23
E06000022,Bath and North East Somerset,utla,2022-12-20,66661,0,0,22
E06000022,Bath and North East Somerset,utla,2022-12-19,66661,0,0,21
E06000022,Bath and North East Somerset,utla,2022-12-18,66661,0,0,13
E06000022,Bath and North East Somerset,utla,2022-12-17,66661,0,0,14
E06000022,Bath and North East Somerset,utla,2022-12-16,66661,0,0,15
E06000022,Bath and North East Somerset,utla,2022-12-15,66661,149,0,11
E06000022,Bath and North East Somerset,utla,2022-12-14,66512,0,0,17
E06000022,Bath and North East Somerset,utla,2022-12-13,66512,0,0,26
E06000022,Bath and North East Somerset,utla,2022-12-12,66512,0,0,22
E06000022,Bath and North East Somerset,utla,2022-12-11,66512,0,0,13
E06000022,Bath and North East Somerset,utla,2022-12-10,66512,0,0,7
E06000022,Bath and North East Somerset,utla,2022-12-09,66512,0,0,17
E06000022,Bath and North East Somerset,utla,2022-12-08,66512,110,0,17
E06000022,Bath and North East Somerset,utla,2022-12-07,66402,0,0,11
E06000022,Bath and North East Somerset,utla,2022-12-06,66402,0,0,20
E06000022,Bath and North East Somerset,utla,2022-12-05,66402,0,0,11
E06000022,Bath and North East Somerset,utla,2022-12-04,66402,0,0,11
E06000022,Bath and North East Somerset,utla,2022-12-03,66402,0,0,6
E06000022,Bath and North East Somerset,utla,2022-12-02,66402,0,0,10
E06000022,Bath and North East Somerset,utla,2022-12-01,66402,59,0,13
E06000022,Bath and North East Somerset,utla,2022-11-30,66343,0,0,14
E06000022,Bath and North East Somerset,utla,2022-11-29,66343,0,0,8
E06000022,Bath and North East Somerset,utla,2022-11-28,66343,0,0,7
E06000022,Bath and North East Somerset,utla,2022-11-27,66343,0,0,6
E06000022,Bath and North East Somerset,utla,2022-11-26,66343,0,0,6
E06000022,Bath and North East Somerset,utla,2022-11-25,66343,0,0,6
E06000022,Bath and North East Somerset,utla,2022-11-24,66343,52,1,6
E06000022,Bath and North East Somerset,utla,2022-11-23,66291,0,0,11
